wavelength,species,ep,gf
4808.15,26,3.25,-2.69
4950.1,26,3.42,-1.56
4994.129,26,0.915,-3.08
5225.525,26,0.11,-4.789
5242.49,26,3.63,-0.99
5247.05,26,0.087,-4.961
5250.208,26,0.121,-4.938
5322.04,26,2.28,-2.89
5466.396,26,4.371,-0.565
5466.987,26,3.573,-2.23
5930.18,26,4.65,-0.17
5956.694,26,0.859,-4.552
6003.01,26,3.88,-1.06
6005.541,26,2.588,-3.43
6056,26,4.73,-0.4
6065.482,26,2.609,-1.53
6082.71,26,2.22,-3.57
6200.313,26,2.609,-2.416
6226.736,26,3.883,-2.1
6232.64,26,3.65,-1.22
6265.134,26,2.176,-2.547
6380.74,26,4.19,-1.32
6392.539,26,2.279,-4.03
6430.846,26,2.176,-2.006
6498.939,26,0.958,-4.695
6597.56,26,4.8,-0.97
6625.022,26,1.011,-5.336
6703.567,26,2.759,-3.023
6710.319,26,1.485,-4.88
6713.745,26,4.795,-1.4
6739.522,26,1.557,-4.794
6750.152,26,2.424,-2.621
6793.259,26,4.076,-2.326
6806.845,26,2.727,-3.11
6810.263,26,4.607,-0.986
6837.006,26,4.593,-1.687
4993.34,26.1,2.81,-3.73
5414.072,26.1,3.221,-3.58
5425.257,26.1,3.2,-3.22
6084.09,26.1,3.2,-3.83
6149.24,26.1,3.89,-2.75
6247.55,26.1,3.89,-2.38
6369.462,26.1,2.891,-4.11
6416.92,26.1,3.89,-2.75
6432.676,26.1,2.891,-3.57
6456.383,26.1,3.9036,-2.05
7771.9438,8,9.146,0.352
7774.1611,8,9.146,0.223
7775.3901,8,9.146,0.002
4982.82,11,2.1,-1
5148.838,11,2.102,-2.044
5682.64,11,2.1,-0.77
5688.21,11,2.1,-0.48
6154.2251,11,2.102,-1.547
6160.7471,11,2.104,-1.246
5260.3872,20,2.521,-1.719
5261.71,20,2.52,-0.677
5349.47,20,2.71,-0.581
5512.98,20,2.93,-0.559
5581.97,20,2.52,-0.63
5590.12,20,2.52,-0.65
5867.562,20,2.933,-1.57
6156.02,20,2.52,-2.497
6166.439,20,2.521,-1.142
6169.042,20,2.523,-0.797
6169.55,20,2.52,-0.58
6449.82,20,2.52,-0.733
6455.5981,20,2.523,-1.34
6471.6621,20,2.526,-0.686
6499.6499,20,2.523,-0.818
6572.8,20,0,-4.28
4854.867,39.1,0.9923,-0.857
-4854.867,39.1,0.9923,-0.602
-4854.868,39.1,0.9923,-1.556
4883.685,39.1,1.0841,-0.298
-4883.685,39.1,1.0841,-1.729
-4883.685,39.1,1.0841,-0.185
4900.11,39.1,1.0326,-0.488
-4900.11,39.1,1.0326,-1.634
-4900.11,39.1,1.0326,-0.333
5087.418,39.1,1.0841,-0.534
-5087.418,39.1,1.0841,-2.078
-5087.42,39.1,1.0841,-2.078
-5087.42,39.1,1.0841,-0.435
5200.411,39.1,0.9923,-1.968
-5200.413,39.1,0.9923,-1.014
-5200.413,39.1,0.9923,-0.822
-5200.414,39.1,0.9923,-1.968
5402.7729,39.1,1.839,-1.984
-5402.7739,39.1,1.839,-0.838
-5402.7754,39.1,1.839,-0.683
